Brands,Colors,Rating,Selling Price,Discount,Type,Memory_MB,Storage_MB,Cluster
SAMSUNG,Black,4.3,19330.0,1669.0000000000002,Mid-range,8192.0,131072.0,1
Nokia,Other,3.8,10199.0,0.0,Mid-range,2048.0,16384.0,2
Infinix,Blue,4.2,12999.0,0.0,Mid-range,4096.0,65536.0,3
Apple,Black,4.6,49900.0,0.0,Upper mid-range,4096.0,65536.0,0
GIONEE,Black,4.0,2199.0,0.0,Entry-level,8.0,16.0,0
Apple,Other,4.6,42999.0,4901.0,Upper mid-range,3072.0,65536.0,0
SAMSUNG,Other,4.2,20400.0,0.0,Mid-range,1536.0,16384.0,4
Xiaomi,Blue,4.3,21736.0,1263.0,Mid-range,8192.0,131072.0,1
SAMSUNG,Black,4.2,11989.0,0.0,Mid-range,4096.0,65536.0,1
realme,Other,4.3,19999.0,2000.0,Mid-range,6144.0,131072.0,4
OPPO,Black,4.3,10490.0,2500.0,Mid-range,3072.0,32768.0,3
vivo,Gold/Yellow,4.4,29990.0,5000.0,Upper mid-range,8192.0,131072.0,1
SAMSUNG,Gold/Yellow,4.2,6999.0,0.0,Entry-level,1024.0,16384.0,1
Lenovo,Other,4.1,13999.000000000002,0.0,Mid-range,4096.0,65536.0,2
ASUS,Blue,4.1,7699.000000000001,0.0,Entry-level,2048.0,32768.0,0
Motorola,Other,3.9,9999.0,0.0,Entry-level,4096.0,65536.0,2
realme,White,4.4,24999.0,2000.0,Mid-range,6144.0,131072.0,4
GIONEE,Black,4.1,6989.999999999999,0.0,Entry-level,2048.0,16384.0,0
Lenovo,Black,4.0,7999.0,0.0,Entry-level,2048.0,16384.0,3
SAMSUNG,Black,4.3,18199.0,0.0,Mid-range,4096.0,131072.0,1
SAMSUNG,Black,4.5,14990.0,0.0,Mid-range,4096.0,65536.0,1
SAMSUNG,Blue,4.0,7999.0,2500.0,Mid-range,2048.0,32768.0,1
Infinix,Red,4.3,8999.0,0.0,Entry-level,3072.0,32768.0,2
Apple,Green,4.6,49900.0,0.0,Upper mid-range,4096.0,65536.0,0
SAMSUNG,Gold/Yellow,4.0,6989.999999999999,0.0,Entry-level,1536.0,8192.0,1
SAMSUNG,Black,4.1,2399.0,0.0,Entry-level,2.0,2.0,1
HTC,Black,3.8,35490.0,0.0,Upper mid-range,1024.0,8192.0,0
realme,Black,4.4,28999.0,2999.9999999999995,Upper mid-range,8192.0,262144.0,1
realme,Green,4.5,11999.0,1000.0,Mid-range,4096.0,131072.0,1
Motorola,Gold/Yellow,4.3,10999.0,0.0,Mid-range,2048.0,16384.0,3
ASUS,White,4.0,6999.0,0.0,Entry-level,2048.0,16384.0,0
SAMSUNG,Other,4.2,22450.0,0.0,Mid-range,8192.0,131072.0,4
GIONEE,Other,4.1,11999.0,0.0,Mid-range,3072.0,65536.0,0
realme,Blue,4.4,31999.000000000004,2999.9999999999995,Upper mid-range,8192.0,131072.0,1
SAMSUNG,Black,4.3,22900.0,0.0,Mid-range,4096.0,32768.0,1
Infinix,Other,4.3,7499.0,1499.9999999999998,Entry-level,2048.0,32768.0,2
realme,Black,4.5,13999.000000000002,2000.0,Mid-range,4096.0,65536.0,1
Apple,Black,4.5,42900.0,0.0,Upper mid-range,3072.0,131072.0,0
Apple,Silver/Gray,4.5,38999.0,901.0,Upper mid-range,2048.0,65536.0,0
Motorola,White,4.4,24999.0,0.0,Mid-range,3072.0,32768.0,2
Lenovo,White,3.9,7999.0,0.0,Entry-level,3072.0,16384.0,2
OPPO,Other,4.4,34990.0,2999.9999999999995,Upper mid-range,8192.0,131072.0,4
realme,Blue,4.3,13999.000000000002,0.0,Mid-range,4096.0,65536.0,1
Lenovo,White,3.7,7580.0,0.0,Entry-level,512.0,4096.0,2
LG,Other,3.8,9990.0,0.0,Entry-level,3072.0,16384.0,2
realme,Blue,4.3,8499.0,2500.0,Mid-range,3072.0,32768.0,1
GIONEE,Other,4.4,11999.0,0.0,Mid-range,2048.0,16384.0,0
Xiaomi,Silver/Gray,4.2,36290.0,1200.0,Upper mid-range,8192.0,131072.0,4
LG,Gold/Yellow,4.0,25999.0,0.0,Mid-range,4096.0,32768.0,3
realme,Red,4.4,17999.0,0.0,Mid-range,6144.0,65536.0,4
Xiaomi,Other,4.4,11999.0,2999.9999999999995,Mid-range,4096.0,65536.0,4
OPPO,Black,4.4,10990.0,5000.0,Mid-range,4096.0,65536.0,3
OPPO,Gold/Yellow,4.1,15739.0,0.0,Mid-range,3072.0,16384.0,3
HTC,Gold/Yellow,3.9,38800.0,0.0,Upper mid-range,3072.0,32768.0,0
SAMSUNG,Blue,4.3,13989.999999999998,2600.0,Mid-range,4096.0,131072.0,1
Xiaomi,Other,4.1,24492.0,3503.0,Mid-range,6144.0,131072.0,4
OPPO,Red,4.3,12000.0,0.0,Mid-range,3072.0,32768.0,4
HTC,Blue,3.9,16999.0,0.0,Mid-range,4096.0,131072.0,0
Infinix,Green,4.5,14999.0,2000.0,Mid-range,6144.0,131072.0,2
SAMSUNG,Black,4.3,17888.0,0.0,Mid-range,6144.0,131072.0,1
SAMSUNG,White,4.1,20700.0,0.0,Mid-range,3072.0,16384.0,4
SAMSUNG,Gold/Yellow,4.2,6199.999999999999,0.0,Entry-level,1024.0,8192.0,1
OPPO,Other,4.3,16990.0,0.0,Mid-range,4096.0,65536.0,4
Xiaomi,Black,4.2,26999.000000000004,5000.0,Upper mid-range,6144.0,131072.0,1
ASUS,White,3.8,6299.0,0.0,Entry-level,1024.0,8192.0,0
SAMSUNG,Blue,4.2,12499.0,1499.9999999999998,Mid-range,4096.0,131072.0,1
Xiaomi,Gold/Yellow,4.4,11499.0,0.0,Mid-range,4096.0,65536.0,1
OPPO,Blue,4.4,13749.999999999998,0.0,Mid-range,3072.0,32768.0,3
SAMSUNG,Black,4.0,37299.0,0.0,Upper mid-range,3072.0,32768.0,1
OPPO,Blue,4.4,15990.000000000002,5000.0,Mid-range,4096.0,131072.0,3
realme,White,4.5,16999.0,0.0,Mid-range,8192.0,131072.0,4
OPPO,Green,4.4,19990.0,0.0,Mid-range,6144.0,262144.0,3
realme,Red,4.3,47999.0,0.0,Upper mid-range,12288.0,262144.0,4
OPPO,Silver/Gray,4.3,23490.0,2500.0,Mid-range,8192.0,262144.0,4
OPPO,Silver/Gray,4.4,22990.0,0.0,Mid-range,4096.0,65536.0,4
GIONEE,Black,3.9,6499.0,0.0,Entry-level,2048.0,32768.0,0
LG,Other,4.1,14250.0,0.0,Mid-range,3072.0,16384.0,2
Xiaomi,White,4.5,26758.0,0.0,Mid-range,8192.0,131072.0,4
OPPO,Black,4.4,26798.0,2191.0,Mid-range,8192.0,262144.0,3
LG,Black,3.7,12500.0,0.0,Mid-range,1024.0,8192.0,3
OPPO,Gold/Yellow,4.3,12990.0,0.0,Mid-range,4096.0,65536.0,3
vivo,Other,4.3,10990.0,0.0,Mid-range,4096.0,131072.0,4
LG,Black,4.0,12790.999999999998,0.0,Mid-range,1024.0,4096.0,3
OPPO,Gold/Yellow,4.2,9990.0,0.0,Entry-level,2048.0,16384.0,3
SAMSUNG,Black,4.3,14995.0,0.0,Mid-range,3072.0,32768.0,1
OPPO,Blue,4.3,10990.0,2000.0,Mid-range,3072.0,32768.0,3
realme,Black,4.3,16499.0,500.0,Mid-range,4096.0,131072.0,1
realme,Green,4.5,12999.0,2000.0,Mid-range,4096.0,131072.0,1
GIONEE,Gold/Yellow,4.1,10499.0,0.0,Mid-range,4096.0,65536.0,0
Infinix,Blue,4.3,14999.0,0.0,Mid-range,4096.0,65536.0,3
Nokia,Black,4.0,10999.0,0.0,Mid-range,512.0,4096.0,3
SAMSUNG,Black,4.2,9499.0,1000.0,Mid-range,3072.0,32768.0,1
POCO,Blue,4.3,11999.0,1000.0,Mid-range,6144.0,65536.0,1
IQOO,Silver/Gray,4.4,37990.0,2999.9999999999995,Upper mid-range,8192.0,262144.0,2
SAMSUNG,White,4.1,17990.0,0.0,Mid-range,2048.0,16384.0,4
Motorola,Gold/Yellow,3.9,12999.0,0.0,Mid-range,4096.0,65536.0,3
LG,Black,3.9,19990.0,0.0,Mid-range,4096.0,65536.0,3
GIONEE,Black,3.7,3990.0,0.0,Entry-level,1024.0,16384.0,0
SAMSUNG,Gold/Yellow,4.3,13900.0,0.0,Mid-range,3072.0,32768.0,1
Apple,Silver/Gray,4.5,25298.999999999996,4601.0,Upper mid-range,2048.0,32768.0,0
SAMSUNG,Black,4.4,24000.0,0.0,Mid-range,6144.0,65536.0,1
LG,Blue,4.1,5899.0,1934.0,Entry-level,2048.0,16384.0,3
ASUS,Blue,4.3,15598.999999999998,0.0,Mid-range,4096.0,65536.0,0
Xiaomi,Black,4.3,24999.0,5000.0,Upper mid-range,6144.0,131072.0,1
ASUS,Blue,3.8,7499.0,0.0,Entry-level,2048.0,32768.0,0
Nokia,Green,3.8,7990.000000000001,0.0,Entry-level,768.0,4096.0,3
SAMSUNG,Black,4.2,14999.0,2999.9999999999995,Mid-range,4096.0,65536.0,1
ASUS,Black,4.3,14999.0,0.0,Mid-range,4096.0,65536.0,0
LG,White,3.7,8800.0,0.0,Entry-level,512.0,4096.0,2
ASUS,Blue,4.3,15999.0,0.0,Mid-range,3072.0,32768.0,0
SAMSUNG,White,3.9,16499.0,1499.9999999999998,Mid-range,6144.0,131072.0,4
OPPO,Black,4.5,29489.0,0.0,Upper mid-range,8192.0,262144.0,3
Apple,Gold/Yellow,4.6,42999.0,4901.0,Upper mid-range,3072.0,65536.0,0
OPPO,Blue,4.4,15000.0,0.0,Mid-range,4096.0,32768.0,3
realme,Gold/Yellow,4.3,41999.0,2000.0,Upper mid-range,12288.0,262144.0,1
vivo,Black,4.3,15490.0,4000.0,Mid-range,6144.0,65536.0,1
SAMSUNG,Gold/Yellow,4.4,28490.0,4960.0,Upper mid-range,8192.0,131072.0,1
SAMSUNG,Black,4.4,16980.0,1220.0,Mid-range,6144.0,131072.0,1
SAMSUNG,White,4.0,44900.0,0.0,Upper mid-range,3072.0,32768.0,4
realme,Other,4.5,20999.0,0.0,Mid-range,8192.0,131072.0,4
OPPO,Silver/Gray,4.3,22990.0,0.0,Mid-range,8192.0,131072.0,4
vivo,Other,4.3,32990.0,0.0,Upper mid-range,8192.0,131072.0,4
Motorola,Red,4.1,6999.0,2999.9999999999995,Entry-level,2048.0,32768.0,2
GIONEE,Black,4.0,6475.0,0.0,Entry-level,3072.0,16384.0,0
OPPO,Black,4.5,11990.0,4000.0,Mid-range,4096.0,65536.0,3
realme,Blue,4.4,15999.0,2000.0,Mid-range,6144.0,131072.0,1
realme,White,4.6,35999.0,0.0,Upper mid-range,12288.0,262144.0,4
SAMSUNG,Black,4.3,13499.0,0.0,Mid-range,1536.0,16384.0,1
LG,Silver/Gray,3.9,6999.0,2999.9999999999995,Entry-level,3072.0,32768.0,2
SAMSUNG,White,4.2,15999.0,0.0,Mid-range,4096.0,65536.0,4
SAMSUNG,Gold/Yellow,4.3,12900.0,0.0,Mid-range,3072.0,32768.0,1
OPPO,Black,4.3,14990.0,0.0,Mid-range,4096.0,65536.0,3
SAMSUNG,Black,4.2,17499.0,1499.9999999999998,Mid-range,6144.0,131072.0,1
POCO,Green,4.3,15999.0,4000.0,Mid-range,6144.0,131072.0,1
OPPO,Blue,4.4,10490.0,1499.9999999999998,Mid-range,4096.0,65536.0,3
OPPO,Black,4.4,10990.0,0.0,Mid-range,4096.0,65536.0,3
Infinix,Other,4.5,9999.0,0.0,Entry-level,4096.0,65536.0,2
OPPO,White,4.3,16990.0,2999.9999999999995,Mid-range,6144.0,131072.0,4
SAMSUNG,Other,4.0,13224.0,675.0,Mid-range,4096.0,65536.0,4
Google Pixel,Black,4.5,44999.0,0.0,Upper mid-range,4096.0,65536.0,0
SAMSUNG,Black,4.3,2290.0,0.0,Entry-level,10.0,2.0,1
OPPO,Black,4.3,22990.0,0.0,Mid-range,6144.0,65536.0,3
ASUS,Blue,4.3,17999.0,0.0,Mid-range,6144.0,65536.0,0
Apple,Gold/Yellow,4.5,34900.0,0.0,Upper mid-range,2048.0,131072.0,0
Lenovo,Black,4.2,9999.0,0.0,Entry-level,3072.0,32768.0,3
Xiaomi,White,4.3,16488.0,510.99999999999994,Mid-range,4096.0,65536.0,4
SAMSUNG,Black,4.2,8780.0,0.0,Entry-level,3072.0,32768.0,1
Nokia,Silver/Gray,4.1,7138.999999999999,0.0,Entry-level,3072.0,16384.0,2
Xiaomi,Black,4.3,21999.0,2999.9999999999995,Mid-range,6144.0,131072.0,1
Nokia,Black,4.2,3740.0,0.0,Entry-level,8.0,16.0,3
Infinix,Other,4.4,11999.0,0.0,Mid-range,4096.0,65536.0,2
SAMSUNG,Black,3.9,4988.0,0.0,Entry-level,512.0,4096.0,1
Xiaomi,Black,4.3,11990.0,909.0,Mid-range,4096.0,65536.0,1
OPPO,White,3.8,8490.0,0.0,Entry-level,1024.0,16384.0,4
ASUS,Gold/Yellow,3.9,15999.0,0.0,Mid-range,2048.0,16384.0,0
OPPO,Black,4.4,18990.0,4000.0,Mid-range,8192.0,131072.0,3
vivo,Black,4.5,15990.000000000002,0.0,Mid-range,4096.0,65536.0,1
Xiaomi,Blue,4.4,11499.0,2500.0,Mid-range,4096.0,65536.0,1
SAMSUNG,Black,4.4,10000.0,0.0,Mid-range,2048.0,32768.0,1
GIONEE,Other,3.9,5950.0,0.0,Entry-level,3072.0,32768.0,0
Xiaomi,Blue,4.4,14999.0,0.0,Mid-range,4096.0,65536.0,1
LG,Other,3.8,12950.0,0.0,Mid-range,4096.0,65536.0,2
OPPO,Gold/Yellow,4.3,21999.0,0.0,Mid-range,8192.0,131072.0,3
realme,White,4.5,24999.0,0.0,Mid-range,8192.0,262144.0,4
Infinix,Other,4.2,16999.0,2999.9999999999995,Mid-range,8192.0,262144.0,2
realme,Blue,4.5,20999.0,0.0,Mid-range,8192.0,131072.0,1
realme,Blue,4.4,35999.0,2999.9999999999995,Upper mid-range,12288.0,262144.0,1
Infinix,Black,4.3,9299.0,1700.0,Mid-range,4096.0,65536.0,3
Motorola,Silver/Gray,4.4,27998.999999999996,0.0,Mid-range,4096.0,65536.0,2
Xiaomi,Blue,4.3,9450.0,0.0,Entry-level,3072.0,32768.0,1
realme,Black,4.4,17999.0,4000.0,Mid-range,6144.0,131072.0,1
vivo,Blue,4.3,14990.0,0.0,Mid-range,8192.0,262144.0,1
realme,Black,4.4,26999.000000000004,2999.9999999999995,Upper mid-range,8192.0,131072.0,1
SAMSUNG,Black,4.3,27499.000000000004,2999.9999999999995,Upper mid-range,6144.0,131072.0,1
